GeneID,Species,Gene,Tissue,Description,Chromosome,Start_position,End_position,Exon_count,Reference
14739,"Mus musculus",S1pr2,Muscle,"sphingosine-1-phosphate receptor 2",9,20873657,20888077,8,10.1152/japplphysiol.00300.2012
212712,"Mus musculus",Satb2,Bone,"SATB homeobox 2",1,56833140,57017809,20,10.1089/ten.TEA.2010.0503
22287,"Mus musculus",Scgb1a1,Epithelia,"secretoglobin family 1A member 1",19,9061000,9065322,3,10.1371/journal.pone.0048451
16923,"Mus musculus",Sh2b3,Endothelia,"SH2B adaptor protein 3",5,121953551,121975709,25,10.1161/CIRCRESAHA.108.192856
20423,"Mus musculus",Shh,Bone,"sonic hedgehog signaling molecule",5,28661813,28672254,3,10.1089/ten.TEA.2010.0048
20423,"Mus musculus",Shh,Epithelia,"sonic hedgehog signaling molecule",5,28661813,28672254,3,10.1038/labinvest.2012.148
27401,"Mus musculus",Skp2,"Stem cell","S-phase kinase associated protein 2",15,9112073,9155512,21,10.1182/blood-2010-11-321521
17126,"Mus musculus",Smad2,Nerve,"SMAD family member 2",18,76374651,76444034,25,10.1523/JNEUROSCI.5321-12.2013
17126,"Mus musculus",Smad2,Misc,"SMAD family member 2",18,76374651,76444034,25,10.1177/0022034512451449
20588,"Mus musculus",Smarcc1,Prostate,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1",9,109946776,110069246,66,10.1128/MCB.25.12.4841-4852.2005
319757,"Mus musculus",Smo,Epithelia,"smoothened, frizzled class receptor",6,29735502,29761364,13,10.1172/JCI66904
12703,"Mus musculus",Socs1,Liver,"suppressor of cytokine signaling 1",16,10600104,10603400,3,10.1016/j.jhep.2007.08.020
12702,"Mus musculus",Socs3,Liver,"suppressor of cytokine signaling 3",11,117856905,117860873,6,10.1016/j.bbrc.2005.10.171
12702,"Mus musculus",Socs3,Nerve,"suppressor of cytokine signaling 3",11,117856905,117860873,6,10.1016/j.neuron.2009.11.021
20674,"Mus musculus",Sox2,Epithelia,"SRY-box transcription factor 2",3,34704554,34706610,1,10.1002/cne.22463
20682,"Mus musculus",Sox9,Cartilage,"SRY-box transcription factor 9",11,112673050,112678586,3,10.1093/ejo/cjp163
20682,"Mus musculus",Sox9,"Hair cell","SRY-box transcription factor 9",11,112673050,112678586,3,10.1242/dev.070284
20750,"Mus musculus",Spp1,Bone,"secreted phosphoprotein 1",5,104582984,104588916,21,10.1002/jcp.21443
20849,"Mus musculus",Stat4,"Spinal cord","signal transducer and activator of transcription 4",1,52026307,52146348,34,10.1097/WNR.0b013e328011516a
20852,"Mus musculus",Stat6,"Spinal cord","signal transducer and activator of transcription 6",10,127478855,127496826,31,10.1097/WNR.0b013e328011516a
100226,"Mus musculus",Stx12,Nerve,"syntaxin 12",4,132580812,132611820,14,10.1074/jbc.M113.536607
100040972,"Mus musculus",Tceal7,Muscle,"transcription elongation factor A like 7",X,135115528,135126849,6,10.1042/BJ20091906
21413,"Mus musculus",Tcf4,"Hair cell","transcription factor 4",18,69476427,69822150,153,10.1242/dev.070284
21687,"Mus musculus",Tek,Bone,"TEK receptor tyrosine kinase",4,94627526,94763213,31,10.1002/stem.1275
21687,"Mus musculus",Tek,Lung,"TEK receptor tyrosine kinase",4,94627526,94763213,31,10.1007/s00109-013-1063-8
21752,"Mus musculus",Tert,Pancreas,"telomerase reverse transcriptase",13,73775030,73797962,45,10.1371/journal.pone.0017122
21803,"Mus musculus",Tgfb1,Cartilage,"transforming growth factor beta 1",7,25386427,25404502,17,10.1089/ten.2005.11.1516
21803,"Mus musculus",Tgfb1,Epithelia,"transforming growth factor beta 1",7,25386427,25404502,17,10.2353/ajpath.2009.080295
21803,"Mus musculus",Tgfb1,Lymph,"transforming growth factor beta 1",7,25386427,25404502,17,10.1152/ajpheart.00879.2008
21803,"Mus musculus",Tgfb1,Pancreas,"transforming growth factor beta 1",7,25386427,25404502,17,10.1097/01.tp.0000161223.54452.a2
21812,"Mus musculus",Tgfbr1,Tooth,"transforming growth factor beta receptor 1",4,47353222,47414931,20,10.1128/MCB.01439-10
21826,"Mus musculus",Thbs2,Bone,"thrombospondin 2",17,14885762,14914497,25,10.1002/jor.22302
319801,"Mus musculus",Tigar,Intestine,"TP53 induced glycolysis regulatory phosphatase",6,127062079,127086520,11,10.1016/j.devcel.2013.05.001
142980,"Mus musculus",Tlr3,Muscle,"toll like receptor 3",8,45848702,45864117,24,10.1002/mus.21959
142980,"Mus musculus",Tlr3,Nerve,"toll like receptor 3",8,45848702,45864117,24,10.1523/JNEUROSCI.4290-06.2007
21898,"Mus musculus",Tlr4,Kidney,"toll like receptor 4",4,66745821,66848521,11,10.1681/ASN.2013050528
21926,"Mus musculus",Tnf,"Spinal cord","tumor necrosis factor",17,35418357,35420983,6,10.1097/WNR.0b013e328011516a
21943,"Mus musculus",Tnfsf11,Epithelia,"TNF superfamily member 11",14,78514885,78545483,5,10.1007/s00418-005-0751-z
22059,"Mus musculus",Trp53,Intestine,"tumor protein p53",11,69471185,69482699,24,10.1158/1541-7786.MCR-11-0052
22099,"Mus musculus",Tsn,"Stem cell",translin,1,118222508,118239469,18,10.1248/bpb.31.207
22323,"Mus musculus",Vasp,Kidney,"vasodilator stimulated phosphoprotein",7,18990854,19005742,23,10.1681/ASN.2004070591
22339,"Mus musculus",Vegfa,Pancreas,"vascular endothelial growth factor A",17,46327919,46343295,28,"PMID: 15613744"
22346,"Mus musculus",Vhl,Lung,"von Hippel-Lindau tumor suppressor",6,113600920,113608594,10,10.1007/s00109-013-1063-8
65114,"Mus musculus",Vps35,Retina,"VPS35 retromer complex component",8,85987021,86026431,26,10.1186/1756-6606-7-10
22370,"Mus musculus",Vtn,Retina,vitronectin,11,78389917,78393150,18,"PMID: 16479252"
22408,"Mus musculus",Wnt1,Epithelia,"Wnt family member 1",15,98687738,98691718,4,10.1038/ng.157
22410,"Mus musculus",Wnt10b,"Hair cell","Wnt family member 10B",15,98668593,98676031,21,10.1038/jid.2012.235
22416,"Mus musculus",Wnt3a,Retina,"Wnt family member 3A",11,59138859,59181578,4,10.1523/JNEUROSCI.4193-06.2007
22421,"Mus musculus",Wnt7a,Epithelia,"Wnt family member 7A",6,91340963,91388345,8,10.1210/en.2011-1826
22422,"Mus musculus",Wnt7b,Epithelia,"Wnt family member 7B",15,85419638,85466674,15,10.1073/pnas.0912228107
22433,"Mus musculus",Xbp1,Pancreas,"X-box binding protein 1",11,5470659,5475893,15,10.1053/j.gastro.2011.06.045
22601,"Mus musculus",Yap1,Heart,"Yes1 associated transcriptional regulator",9,7932000,8004597,28,10.1073/pnas.1313192110
22601,"Mus musculus",Yap1,Intestine,"Yes1 associated transcriptional regulator",9,7932000,8004597,28,10.1038/nature11693
689404,"Rattus norvegicus",Amtn,Epithelia,amelotin,14,21286510,21299068,9,10.22203/ecm.v020a32
84010,"Rattus norvegicus",Dll1,Kidney,"delta like canonical Notch ligand 1",1,57318708,57327379,11,10.1038/ki.2008.74
266706,"Rattus norvegicus",Gjc1,Muscle,"gap junction protein gamma 1",10,90781402,90912287,5,10.1152/ajpcell.00458.2008
689710,"Rattus norvegicus",Heg1,Kidney,"heart development protein with EGF like domains 1",11,70236888,70322690,18,10.1038/ki.2008.74
29577,"Rattus norvegicus",Hes1,Intestine,"hes family bHLH transcription factor 1",11,74312806,74315248,4,10.1371/journal.pone.0076274
29567,"Rattus norvegicus",Hes2,Kidney,"hes family bHLH transcription factor 2",5,169338097,169339142,4,10.1038/ki.2008.74
24471,"Rattus norvegicus",Hspb1,Tooth,"heat shock protein family B (small) member 1",12,23839399,23841049,3,10.1093/jmicro/52.6.581
24482,"Rattus norvegicus",Igf1,Retina,"insulin like growth factor 1",7,28412198,28486609,10,10.1016/j.neuint.2007.01.011
29200,"Rattus norvegicus",Inhba,Kidney,"inhibin subunit beta A",17,51898217,51912496,3,10.1097/01.asn.0000035086.93977.e9
29147,"Rattus norvegicus",Jag2,Intestine,"jagged canonical Notch ligand 2",6,137711155,137733026,25,10.1371/journal.pone.0076274
287828,"Rattus norvegicus",Jpt1,Nerve,"Jupiter microtubule associated homolog 1",10,104057697,104075777,5,10.1002/jnr.20676
85248,"Rattus norvegicus",Kif3c,Nerve,"kinesin family member 3C",6,27768943,27815611,8,10.1523/JNEUROSCI.5221-12.2013
64030,"Rattus norvegicus",Kit,Muscle,"KIT proto-oncogene, receptor tyrosine kinase",14,35072108,35149610,24,10.1111/j.1582-4934.2011.01330.x
306071,"Rattus norvegicus",Lcp1,Pancreas,"lymphocyte cytosolic protein 1",15,57221292,57277811,19,10.1039/c1mb05326d
25608,"Rattus norvegicus",Lep,Liver,leptin,4,56337695,56351818,3,10.12659/MSMBR.889591
83781,"Rattus norvegicus",Lgals3,Kidney,"galectin 3",15,24141651,24165537,13,10.14670/HH-25.1417
116590,"Rattus norvegicus",Mapk1,"Salivary gland","mitogen-activated protein kinase 1",11,88211599,88273254,9,10.1111/j.1432-0436.2007.00251.x
50689,"Rattus norvegicus",Mapk3,"Salivary gland","mitogen-activated protein kinase 3",1,198192773,198198975,9,10.1111/j.1432-0436.2007.00251.x
299996,"Rattus norvegicus",Matn2,Liver,"matrilin 2",7,72985495,73207695,18,10.1016/j.matbio.2007.04.007
81517,"Rattus norvegicus",Mdk,Nerve,midkine,3,80841005,80842916,5,10.1016/j.jns.2009.05.026
81517,"Rattus norvegicus",Mdk,Muscle,midkine,3,80841005,80842916,5,10.1016/j.acthis.2006.04.003
81686,"Rattus norvegicus",Mmp2,Bone,"matrix metallopeptidase 2",19,15542765,15570611,13,10.1007/s10735-007-9152-z
81687,"Rattus norvegicus",Mmp9,Bone,"matrix metallopeptidase 9",3,161413298,161421520,18,10.1007/s10735-007-9152-z
79215,"Rattus norvegicus",Mtpn,Muscle,myotrophin,4,63012011,63039422,4,10.1016/s0960-8966(02)00185-2
81733,"Rattus norvegicus",Nell1,Bone,"neural EGFL like 1",1,105349069,106218958,20,10.1097/PRS.0b013e3181fed5ae
500137,"Rattus norvegicus",Neurod6,Nerve,"neuronal differentiation 6",4,85911861,85915099,2,10.1111/j.1471-4159.2004.02814.x
366214,"Rattus norvegicus",Nkx2-2,Pancreas,"NK2 homeobox 2",3,141408798,141411170,2,10.4161/cc.19928
641555,"Rattus norvegicus",Odam,Epithelia,"odontogenic, ameloblast associated",14,21842990,21852216,12,10.22203/ecm.v020a32
24628,"Rattus norvegicus",Pdgfb,Kidney,"platelet derived growth factor subunit B",7,121214628,121232741,7,10.1016/S0002-9440(10)63651-6
313488,"Rattus norvegicus",Reck,Bone,"reversion inducing cysteine rich protein with kazal motifs",5,59348639,59415135,23,10.1007/s10735-007-9152-z
300260,"Rattus norvegicus",Sp7,Tooth,"Sp7 transcription factor",7,143958858,143967484,4,10.1007/s00418-013-1076-y
25557,"Rattus norvegicus",Star,Kidney,"steroidogenic acute regulatory protein",16,71036204,71040847,7,"PMID: 18425351"
24806,"Rattus norvegicus",Tac1,Bone,"tachykinin precursor 1",4,33638709,33646819,9,10.1002/jor.21169
679869,"Rattus norvegicus",Tcf7l2,Pancreas,"transcription factor 7 like 2",1,276659542,276730514,10,10.1152/ajpendo.00538.2009
83785,"Rattus norvegicus",Vegfa,Bone,"vascular endothelial growth factor A",9,17340341,17355681,12,10.1359/jbmr.060120
83785,"Rattus norvegicus",Vegfa,Kidney,"vascular endothelial growth factor A",9,17340341,17355681,12,10.1159/000345142
83785,"Rattus norvegicus",Vegfa,Thymus,"vascular endothelial growth factor A",9,17340341,17355681,12,10.1016/j.bbamcr.2007.05.006
303181,"Rattus norvegicus",Wnt3a,Retina,"Wnt family member 3A",10,45598912,45638035,4,10.1523/JNEUROSCI.4193-06.2007
84426,"Rattus norvegicus",Wnt4,Kidney,"Wnt family member 4",5,155649217,155672579,7,10.1097/01.asn.0000060577.94532.06
503736,"Danio rerio",apobec2a,Retina,"apolipoprotein B mRNA editing enzyme catalytic subunit 2",22,641342,651719,3,10.1523/JNEUROSCI.5603-11.2012
30291,"Danio rerio",cdh2,Retina,"cadherin 2",20,17581881,17819238,37,10.1242/dev.090738
406586,"Danio rerio",fam53b,Bone,"family with sequence similarity 53 member B",12,46883785,46937956,10,10.1016/j.ydbio.2008.09.032
30705,"Danio rerio",fgfr1a,Retina,"fibroblast growth factor receptor 1",8,51430597,51524453,40,10.1371/journal.pone.0030365
567861,"Danio rerio",gfpt1,Skin,"glutamine--fructose-6-phosphate transaminase 1",8,49975160,50037559,22,10.1371/journal.pgen.0030088
321622,"Danio rerio",hmgb1a,"Spinal cord","high mobility group box 1",10,36026576,36032038,11,10.1007/s12035-013-8533-4
402941,"Danio rerio",insm1a,Retina,"INSM transcriptional repressor 1",20,48482925,48485354,2,10.1038/ncb2586
30256,"Danio rerio",kita,"Stem cell","KIT proto-oncogene, receptor tyrosine kinase",20,22335511,22378401,23,10.1242/dev.088112
30277,"Danio rerio",mdka,Retina,midkine,7,39166460,39178198,16,10.1002/cne.21999
406795,"Danio rerio",mtrex,Skin,"Mtr4 exosome RNA helicase",10,8197827,8266094,30,10.1371/journal.pgen.0030088
30716,"Danio rerio",raf1a,"Hair cell","Raf-1 proto-oncogene, serine/threonine kinase",23,4709607,4747277,37,10.1097/WNR.0b013e32835e3279
378723,"Danio rerio",sox2,"Hair cell","SRY-box transcription factor 2",22,37347896,37349967,1,10.1016/j.ydbio.2009.12.011
30767,"Danio rerio",stat3,Heart,"signal transducer and activator of transcription 3",3,17030665,17107445,24,10.1073/pnas.1309810110
30767,"Danio rerio",stat3,Retina,"signal transducer and activator of transcription 3",3,17030665,17107445,29,10.1002/cne.23213
558148,"Danio rerio",tcf21,Heart,"transcription factor 21",23,31554269,31555696,4,10.1242/dev.067041
359834,"Danio rerio",tgfb1a,Heart,"transforming growth factor beta 1",15,2776506,2803313,7,10.1242/dev.078543
397447,"Sus scrofa",ROCK1,Endothelia,"Rho associated coiled-coil containing protein kinase 1",6,106163903,106314944,33,10.1161/01.ATV.0000105053.46994.5B
395615,Chicken,SHH,Retina,"sonic hedgehog signaling molecule",2,576891,629421,3,10.1002/dvdy.21115
397445,"Sus scrofa",ROCK2,Endothelia,"Rho associated coiled-coil containing protein kinase 2",3,125353119,125491963,36,10.1161/01.ATV.0000105053.46994.5B
426903,Chicken,VANGL2,Epithelia,"VANGL planar cell polarity protein 2",25,2442218,2446961,10,10.1007/s10162-010-0209-4
101114163,Sheep,EGLN1,Bone,"egl-9 family hypoxia inducible factor 1",25,4126144,4173974,6,10.1007/s11999-012-2475-4
